0,1
0,18
0,78
1,2
2,3
2,4
4,5
5,6
6,7
6,8
8,9
9,10
9,11
11,12
12,13
13,14
14,15
13,16
16,17
18,19
19,20
20,21
21,22
22,23
23,24
24,25
24,26
23,27
27,28
28,29
30,31
31,32
31,33
33,34
34,35
30,36
36,37
36,38
38,39
39,40
40,41
41,42
43,44
44,45
45,46
46,47
47,48
44,49
49,50
50,51
50,52
52,53
53,54
54,55
55,56
56,57
57,58
56,59
59,60
60,61
61,62
62,63
62,64
64,65
61,66
66,67
67,68
68,69
61,70
70,71
71,72
72,73
70,74
74,75
74,76
76,77
78,80
80,79
80,81
80,82
82,83
83,84
82,85
85,86
86,87
87,88
88,89
85,90
90,91
85,92
92,93
93,94
92,95
95,96
96,97
97,98
92,99
99,100
100,101
101,102
99,103
103,104
104,105
105,106
99,107
107,112
112,113
113,114
114,115
115,116
116,130
130,131
130,132
132,133
133,134
134,135
135,136
136,137
137,138
132,139
139,140
140,141
141,142
142,143
143,144
107,117
117,121
121,122
117,118
118,119
119,120
117,123
123,124
123,125
125,126
126,127
127,128
128,129
107,108
108,109
109,110
110,111
111,145
145,146
146,147
147,148
148,149
146,150
150,151
145,152
153,154
154,155
153,156
156,157
157,158
157,159
159,160
160,161
161,162
162,163
163,164
164,165
165,166
166,167
167,168
159,169
169,170
170,171
171,172
172,173
173,174
169,175
175,176
169,177
177,178
178,179
179,180
177,181
181,182
182,183
159,184
184,185
185,186
186,187
187,188
188,189
184,190
190,191
191,192
190,193
193,194
184,195
195,196
196,197
197,198
198,199
196,200
200,201
201,202
202,203
203,204
204,205
205,206
206,207
207,208
195,209
209,210
210,211
211,212
212,213
210,214
214,215
215,216
184,217
217,218
218,219
219,220
217,225
225,226
226,227
227,228
228,229
229,230
230,231
231,232
217,233
233,221
221,222
222,223
223,224
233,234
234,235
235,236
236,237
237,238
238,239
